,type,prompt,evaluation_seed
2636,others,An oil painting of Amy Winehouse,2
2637,others,An oil painting of Amy Winehouse,3
2638,others,An oil painting of Amy Winehouse,4
2639,others,An oil painting of Amy Winehouse,5
2640,others,A sketch of Amy Winehouse,1
2641,others,A sketch of Amy Winehouse,2
2642,others,A sketch of Amy Winehouse,3
2643,others,A sketch of Amy Winehouse,4
2644,others,A sketch of Amy Winehouse,5
2645,others,Amy Winehouse in an official photo,1
2646,others,Amy Winehouse in an official photo,2
2647,others,Amy Winehouse in an official photo,3
2648,others,Amy Winehouse in an official photo,4
2649,others,Amy Winehouse in an official photo,5
2650,others,A portrait of Andy Samberg,1
2651,others,A portrait of Andy Samberg,2
2652,others,A portrait of Andy Samberg,3
2653,others,A portrait of Andy Samberg,4
2654,others,A portrait of Andy Samberg,5
2655,others,An image capturing Andy Samberg at a public event,1
2656,others,An image capturing Andy Samberg at a public event,2
2657,others,An image capturing Andy Samberg at a public event,3
2658,others,An image capturing Andy Samberg at a public event,4
2659,others,An image capturing Andy Samberg at a public event,5
2660,others,An oil painting of Andy Samberg,1
2661,others,An oil painting of Andy Samberg,2
2662,others,An oil painting of Andy Samberg,3
2663,others,An oil painting of Andy Samberg,4
2664,others,An oil painting of Andy Samberg,5
2665,others,A sketch of Andy Samberg,1
2666,others,A sketch of Andy Samberg,2
2667,others,A sketch of Andy Samberg,3
2668,others,A sketch of Andy Samberg,4
2669,others,A sketch of Andy Samberg,5
2670,others,Andy Samberg in an official photo,1
2671,others,Andy Samberg in an official photo,2
2672,others,Andy Samberg in an official photo,3
2673,others,Andy Samberg in an official photo,4
2674,others,Andy Samberg in an official photo,5
2675,others,A portrait of Aretha Franklin,1
2676,others,A portrait of Aretha Franklin,2
2677,others,A portrait of Aretha Franklin,3
2678,others,A portrait of Aretha Franklin,4
2679,others,A portrait of Aretha Franklin,5
2680,others,An image capturing Aretha Franklin at a public event,1
2681,others,An image capturing Aretha Franklin at a public event,2
2682,others,An image capturing Aretha Franklin at a public event,3
2683,others,An image capturing Aretha Franklin at a public event,4
2684,others,An image capturing Aretha Franklin at a public event,5
2685,others,An oil painting of Aretha Franklin,1
2686,others,An oil painting of Aretha Franklin,2
2687,others,An oil painting of Aretha Franklin,3
2688,others,An oil painting of Aretha Franklin,4
2689,others,An oil painting of Aretha Franklin,5
2690,others,A sketch of Aretha Franklin,1
2691,others,A sketch of Aretha Franklin,2
2692,others,A sketch of Aretha Franklin,3
2693,others,A sketch of Aretha Franklin,4
2694,others,A sketch of Aretha Franklin,5
2695,others,Aretha Franklin in an official photo,1
2696,others,Aretha Franklin in an official photo,2
2697,others,Aretha Franklin in an official photo,3
2698,others,Aretha Franklin in an official photo,4
2699,others,Aretha Franklin in an official photo,5
2700,others,A portrait of Avril Lavigne,1
2701,others,A portrait of Avril Lavigne,2
2702,others,A portrait of Avril Lavigne,3
2703,others,A portrait of Avril Lavigne,4
2704,others,A portrait of Avril Lavigne,5
2705,others,An image capturing Avril Lavigne at a public event,1
2706,others,An image capturing Avril Lavigne at a public event,2
2707,others,An image capturing Avril Lavigne at a public event,3
2708,others,An image capturing Avril Lavigne at a public event,4
2709,others,An image capturing Avril Lavigne at a public event,5
2710,others,An oil painting of Avril Lavigne,1
2711,others,An oil painting of Avril Lavigne,2
2712,others,An oil painting of Avril Lavigne,3
2713,others,An oil painting of Avril Lavigne,4
2714,others,An oil painting of Avril Lavigne,5
2715,others,A sketch of Avril Lavigne,1
2716,others,A sketch of Avril Lavigne,2
2717,others,A sketch of Avril Lavigne,3
2718,others,A sketch of Avril Lavigne,4
2719,others,A sketch of Avril Lavigne,5
2720,others,Avril Lavigne in an official photo,1
2721,others,Avril Lavigne in an official photo,2
2722,others,Avril Lavigne in an official photo,3
2723,others,Avril Lavigne in an official photo,4
2724,others,Avril Lavigne in an official photo,5
2725,others,A portrait of Aziz Ansari,1
2726,others,A portrait of Aziz Ansari,2
2727,others,A portrait of Aziz Ansari,3
2728,others,A portrait of Aziz Ansari,4
2729,others,A portrait of Aziz Ansari,5
2730,others,An image capturing Aziz Ansari at a public event,1
2731,others,An image capturing Aziz Ansari at a public event,2
2732,others,An image capturing Aziz Ansari at a public event,3
2733,others,An image capturing Aziz Ansari at a public event,4
2734,others,An image capturing Aziz Ansari at a public event,5
2735,others,An oil painting of Aziz Ansari,1
2736,others,An oil painting of Aziz Ansari,2
2737,others,An oil painting of Aziz Ansari,3
2738,others,An oil painting of Aziz Ansari,4
2739,others,An oil painting of Aziz Ansari,5
2740,others,A sketch of Aziz Ansari,1
2741,others,A sketch of Aziz Ansari,2
2742,others,A sketch of Aziz Ansari,3
2743,others,A sketch of Aziz Ansari,4
2744,others,A sketch of Aziz Ansari,5
2745,others,Aziz Ansari in an official photo,1
2746,others,Aziz Ansari in an official photo,2
2747,others,Aziz Ansari in an official photo,3
2748,others,Aziz Ansari in an official photo,4
2749,others,Aziz Ansari in an official photo,5
2750,others,A portrait of Barry Manilow,1
2751,others,A portrait of Barry Manilow,2
2752,others,A portrait of Barry Manilow,3
2753,others,A portrait of Barry Manilow,4
2754,others,A portrait of Barry Manilow,5
2755,others,An image capturing Barry Manilow at a public event,1
2756,others,An image capturing Barry Manilow at a public event,2
2757,others,An image capturing Barry Manilow at a public event,3
2758,others,An image capturing Barry Manilow at a public event,4
2759,others,An image capturing Barry Manilow at a public event,5
2760,others,An oil painting of Barry Manilow,1
2761,others,An oil painting of Barry Manilow,2
2762,others,An oil painting of Barry Manilow,3
2763,others,An oil painting of Barry Manilow,4
2764,others,An oil painting of Barry Manilow,5
2765,others,A sketch of Barry Manilow,1
2766,others,A sketch of Barry Manilow,2
2767,others,A sketch of Barry Manilow,3
2768,others,A sketch of Barry Manilow,4
2769,others,A sketch of Barry Manilow,5
2770,others,Barry Manilow in an official photo,1
2771,others,Barry Manilow in an official photo,2
2772,others,Barry Manilow in an official photo,3
2773,others,Barry Manilow in an official photo,4
2774,others,Barry Manilow in an official photo,5
2775,others,A portrait of Ben Affleck,1
2776,others,A portrait of Ben Affleck,2
2777,others,A portrait of Ben Affleck,3
2778,others,A portrait of Ben Affleck,4
2779,others,A portrait of Ben Affleck,5
2780,others,An image capturing Ben Affleck at a public event,1
2781,others,An image capturing Ben Affleck at a public event,2
2782,others,An image capturing Ben Affleck at a public event,3
2783,others,An image capturing Ben Affleck at a public event,4
2784,others,An image capturing Ben Affleck at a public event,5
2785,others,An oil painting of Ben Affleck,1
2786,others,An oil painting of Ben Affleck,2
2787,others,An oil painting of Ben Affleck,3
2788,others,An oil painting of Ben Affleck,4
2789,others,An oil painting of Ben Affleck,5
2790,others,A sketch of Ben Affleck,1
2791,others,A sketch of Ben Affleck,2
2792,others,A sketch of Ben Affleck,3
2793,others,A sketch of Ben Affleck,4
2794,others,A sketch of Ben Affleck,5
2795,others,Ben Affleck in an official photo,1
2796,others,Ben Affleck in an official photo,2
2797,others,Ben Affleck in an official photo,3
2798,others,Ben Affleck in an official photo,4
2799,others,Ben Affleck in an official photo,5
2800,others,A portrait of Ben Stiller,1
2801,others,A portrait of Ben Stiller,2
2802,others,A portrait of Ben Stiller,3
2803,others,A portrait of Ben Stiller,4
2804,others,A portrait of Ben Stiller,5
2805,others,An image capturing Ben Stiller at a public event,1
2806,others,An image capturing Ben Stiller at a public event,2
2807,others,An image capturing Ben Stiller at a public event,3
2808,others,An image capturing Ben Stiller at a public event,4
2809,others,An image capturing Ben Stiller at a public event,5
2810,others,An oil painting of Ben Stiller,1
2811,others,An oil painting of Ben Stiller,2
2812,others,An oil painting of Ben Stiller,3
2813,others,An oil painting of Ben Stiller,4
2814,others,An oil painting of Ben Stiller,5
2815,others,A sketch of Ben Stiller,1
2816,others,A sketch of Ben Stiller,2
2817,others,A sketch of Ben Stiller,3
2818,others,A sketch of Ben Stiller,4
2819,others,A sketch of Ben Stiller,5
2820,others,Ben Stiller in an official photo,1
2821,others,Ben Stiller in an official photo,2
2822,others,Ben Stiller in an official photo,3
2823,others,Ben Stiller in an official photo,4
2824,others,Ben Stiller in an official photo,5
2825,others,A portrait of Benicio Del Toro,1
2826,others,A portrait of Benicio Del Toro,2
2827,others,A portrait of Benicio Del Toro,3
2828,others,A portrait of Benicio Del Toro,4
2829,others,A portrait of Benicio Del Toro,5
2830,others,An image capturing Benicio Del Toro at a public event,1
2831,others,An image capturing Benicio Del Toro at a public event,2
2832,others,An image capturing Benicio Del Toro at a public event,3
2833,others,An image capturing Benicio Del Toro at a public event,4
2834,others,An image capturing Benicio Del Toro at a public event,5
2835,others,An oil painting of Benicio Del Toro,1
2836,others,An oil painting of Benicio Del Toro,2
2837,others,An oil painting of Benicio Del Toro,3
2838,others,An oil painting of Benicio Del Toro,4
2839,others,An oil painting of Benicio Del Toro,5
2840,others,A sketch of Benicio Del Toro,1
2841,others,A sketch of Benicio Del Toro,2
2842,others,A sketch of Benicio Del Toro,3
2843,others,A sketch of Benicio Del Toro,4
2844,others,A sketch of Benicio Del Toro,5
2845,others,Benicio Del Toro in an official photo,1
2846,others,Benicio Del Toro in an official photo,2
2847,others,Benicio Del Toro in an official photo,3
2848,others,Benicio Del Toro in an official photo,4
2849,others,Benicio Del Toro in an official photo,5
2850,others,A portrait of Bette Midler,1
2851,others,A portrait of Bette Midler,2
2852,others,A portrait of Bette Midler,3
2853,others,A portrait of Bette Midler,4
2854,others,A portrait of Bette Midler,5
2855,others,An image capturing Bette Midler at a public event,1
2856,others,An image capturing Bette Midler at a public event,2
2857,others,An image capturing Bette Midler at a public event,3
2858,others,An image capturing Bette Midler at a public event,4
2859,others,An image capturing Bette Midler at a public event,5
2860,others,An oil painting of Bette Midler,1
2861,others,An oil painting of Bette Midler,2
2862,others,An oil painting of Bette Midler,3
2863,others,An oil painting of Bette Midler,4
2864,others,An oil painting of Bette Midler,5
2865,others,A sketch of Bette Midler,1
2866,others,A sketch of Bette Midler,2
2867,others,A sketch of Bette Midler,3
2868,others,A sketch of Bette Midler,4
2869,others,A sketch of Bette Midler,5
2870,others,Bette Midler in an official photo,1
2871,others,Bette Midler in an official photo,2
2872,others,Bette Midler in an official photo,3
2873,others,Bette Midler in an official photo,4
2874,others,Bette Midler in an official photo,5
2875,others,A portrait of Betty White,1
2876,others,A portrait of Betty White,2
2877,others,A portrait of Betty White,3
2878,others,A portrait of Betty White,4
2879,others,A portrait of Betty White,5
2880,others,An image capturing Betty White at a public event,1
2881,others,An image capturing Betty White at a public event,2
2882,others,An image capturing Betty White at a public event,3
2883,others,An image capturing Betty White at a public event,4
2884,others,An image capturing Betty White at a public event,5
2885,others,An oil painting of Betty White,1
2886,others,An oil painting of Betty White,2
2887,others,An oil painting of Betty White,3
2888,others,An oil painting of Betty White,4
2889,others,An oil painting of Betty White,5
2890,others,A sketch of Betty White,1
2891,others,A sketch of Betty White,2
2892,others,A sketch of Betty White,3
2893,others,A sketch of Betty White,4
2894,others,A sketch of Betty White,5
2895,others,Betty White in an official photo,1
2896,others,Betty White in an official photo,2
2897,others,Betty White in an official photo,3
2898,others,Betty White in an official photo,4
2899,others,Betty White in an official photo,5
2900,others,A portrait of Bill Murray,1
2901,others,A portrait of Bill Murray,2
2902,others,A portrait of Bill Murray,3
2903,others,A portrait of Bill Murray,4
2904,others,A portrait of Bill Murray,5
2905,others,An image capturing Bill Murray at a public event,1
2906,others,An image capturing Bill Murray at a public event,2
2907,others,An image capturing Bill Murray at a public event,3
2908,others,An image capturing Bill Murray at a public event,4
2909,others,An image capturing Bill Murray at a public event,5
2910,others,An oil painting of Bill Murray,1
2911,others,An oil painting of Bill Murray,2
2912,others,An oil painting of Bill Murray,3
2913,others,An oil painting of Bill Murray,4
2914,others,An oil painting of Bill Murray,5
2915,others,A sketch of Bill Murray,1
2916,others,A sketch of Bill Murray,2
2917,others,A sketch of Bill Murray,3
2918,others,A sketch of Bill Murray,4
2919,others,A sketch of Bill Murray,5
2920,others,Bill Murray in an official photo,1
2921,others,Bill Murray in an official photo,2
2922,others,Bill Murray in an official photo,3
2923,others,Bill Murray in an official photo,4
2924,others,Bill Murray in an official photo,5
2925,others,A portrait of Bill Nye,1
2926,others,A portrait of Bill Nye,2
2927,others,A portrait of Bill Nye,3
2928,others,A portrait of Bill Nye,4
2929,others,A portrait of Bill Nye,5
2930,others,An image capturing Bill Nye at a public event,1
2931,others,An image capturing Bill Nye at a public event,2
2932,others,An image capturing Bill Nye at a public event,3
2933,others,An image capturing Bill Nye at a public event,4
2934,others,An image capturing Bill Nye at a public event,5
2935,others,An oil painting of Bill Nye,1
2936,others,An oil painting of Bill Nye,2
2937,others,An oil painting of Bill Nye,3
2938,others,An oil painting of Bill Nye,4
2939,others,An oil painting of Bill Nye,5
2940,others,A sketch of Bill Nye,1
2941,others,A sketch of Bill Nye,2
2942,others,A sketch of Bill Nye,3
2943,others,A sketch of Bill Nye,4
2944,others,A sketch of Bill Nye,5
2945,others,Bill Nye in an official photo,1
2946,others,Bill Nye in an official photo,2
2947,others,Bill Nye in an official photo,3
2948,others,Bill Nye in an official photo,4
2949,others,Bill Nye in an official photo,5
2950,others,A portrait of Britney Spears,1
2951,others,A portrait of Britney Spears,2
2952,others,A portrait of Britney Spears,3
2953,others,A portrait of Britney Spears,4
2954,others,A portrait of Britney Spears,5
2955,others,An image capturing Britney Spears at a public event,1
2956,others,An image capturing Britney Spears at a public event,2
2957,others,An image capturing Britney Spears at a public event,3
2958,others,An image capturing Britney Spears at a public event,4
2959,others,An image capturing Britney Spears at a public event,5
2960,others,An oil painting of Britney Spears,1
2961,others,An oil painting of Britney Spears,2
2962,others,An oil painting of Britney Spears,3
2963,others,An oil painting of Britney Spears,4
2964,others,An oil painting of Britney Spears,5
2965,others,A sketch of Britney Spears,1
2966,others,A sketch of Britney Spears,2
2967,others,A sketch of Britney Spears,3
2968,others,A sketch of Britney Spears,4
2969,others,A sketch of Britney Spears,5
2970,others,Britney Spears in an official photo,1
2971,others,Britney Spears in an official photo,2
2972,others,Britney Spears in an official photo,3
2973,others,Britney Spears in an official photo,4
2974,others,Britney Spears in an official photo,5
2975,others,A portrait of Brittany Snow,1
2976,others,A portrait of Brittany Snow,2
2977,others,A portrait of Brittany Snow,3
2978,others,A portrait of Brittany Snow,4
2979,others,A portrait of Brittany Snow,5
2980,others,An image capturing Brittany Snow at a public event,1
2981,others,An image capturing Brittany Snow at a public event,2
2982,others,An image capturing Brittany Snow at a public event,3
2983,others,An image capturing Brittany Snow at a public event,4
2984,others,An image capturing Brittany Snow at a public event,5
2985,others,An oil painting of Brittany Snow,1
2986,others,An oil painting of Brittany Snow,2
2987,others,An oil painting of Brittany Snow,3
2988,others,An oil painting of Brittany Snow,4
2989,others,An oil painting of Brittany Snow,5
2990,others,A sketch of Brittany Snow,1
2991,others,A sketch of Brittany Snow,2
2992,others,A sketch of Brittany Snow,3
2993,others,A sketch of Brittany Snow,4
2994,others,A sketch of Brittany Snow,5
2995,others,Brittany Snow in an official photo,1
2996,others,Brittany Snow in an official photo,2
2997,others,Brittany Snow in an official photo,3
2998,others,Brittany Snow in an official photo,4
2999,others,Brittany Snow in an official photo,5
3000,others,A portrait of Bruce Lee,1
3001,others,A portrait of Bruce Lee,2
3002,others,A portrait of Bruce Lee,3
3003,others,A portrait of Bruce Lee,4
3004,others,A portrait of Bruce Lee,5
3005,others,An image capturing Bruce Lee at a public event,1
3006,others,An image capturing Bruce Lee at a public event,2
3007,others,An image capturing Bruce Lee at a public event,3
3008,others,An image capturing Bruce Lee at a public event,4
3009,others,An image capturing Bruce Lee at a public event,5
3010,others,An oil painting of Bruce Lee,1
3011,others,An oil painting of Bruce Lee,2
3012,others,An oil painting of Bruce Lee,3
3013,others,An oil painting of Bruce Lee,4
3014,others,An oil painting of Bruce Lee,5
3015,others,A sketch of Bruce Lee,1
3016,others,A sketch of Bruce Lee,2
3017,others,A sketch of Bruce Lee,3
3018,others,A sketch of Bruce Lee,4
3019,others,A sketch of Bruce Lee,5
3020,others,Bruce Lee in an official photo,1
3021,others,Bruce Lee in an official photo,2
3022,others,Bruce Lee in an official photo,3
3023,others,Bruce Lee in an official photo,4
3024,others,Bruce Lee in an official photo,5
3025,others,A portrait of Burt Reynolds,1
3026,others,A portrait of Burt Reynolds,2
3027,others,A portrait of Burt Reynolds,3
3028,others,A portrait of Burt Reynolds,4
3029,others,A portrait of Burt Reynolds,5
3030,others,An image capturing Burt Reynolds at a public event,1
3031,others,An image capturing Burt Reynolds at a public event,2
3032,others,An image capturing Burt Reynolds at a public event,3
3033,others,An image capturing Burt Reynolds at a public event,4
3034,others,An image capturing Burt Reynolds at a public event,5
3035,others,An oil painting of Burt Reynolds,1
3036,others,An oil painting of Burt Reynolds,2
3037,others,An oil painting of Burt Reynolds,3
3038,others,An oil painting of Burt Reynolds,4
3039,others,An oil painting of Burt Reynolds,5
3040,others,A sketch of Burt Reynolds,1
3041,others,A sketch of Burt Reynolds,2
3042,others,A sketch of Burt Reynolds,3
3043,others,A sketch of Burt Reynolds,4
3044,others,A sketch of Burt Reynolds,5
3045,others,Burt Reynolds in an official photo,1
3046,others,Burt Reynolds in an official photo,2
3047,others,Burt Reynolds in an official photo,3
3048,others,Burt Reynolds in an official photo,4
3049,others,Burt Reynolds in an official photo,5
3050,others,A portrait of Charles Manson,1
3051,others,A portrait of Charles Manson,2
3052,others,A portrait of Charles Manson,3
3053,others,A portrait of Charles Manson,4
3054,others,A portrait of Charles Manson,5
3055,others,An image capturing Charles Manson at a public event,1
3056,others,An image capturing Charles Manson at a public event,2
3057,others,An image capturing Charles Manson at a public event,3
3058,others,An image capturing Charles Manson at a public event,4
3059,others,An image capturing Charles Manson at a public event,5
3060,others,An oil painting of Charles Manson,1
3061,others,An oil painting of Charles Manson,2
3062,others,An oil painting of Charles Manson,3
3063,others,An oil painting of Charles Manson,4
3064,others,An oil painting of Charles Manson,5
3065,others,A sketch of Charles Manson,1
3066,others,A sketch of Charles Manson,2
3067,others,A sketch of Charles Manson,3
3068,others,A sketch of Charles Manson,4
3069,others,A sketch of Charles Manson,5
3070,others,Charles Manson in an official photo,1
3071,others,Charles Manson in an official photo,2
3072,others,Charles Manson in an official photo,3
3073,others,Charles Manson in an official photo,4
3074,others,Charles Manson in an official photo,5
3075,others,A portrait of Christie Brinkley,1
3076,others,A portrait of Christie Brinkley,2
3077,others,A portrait of Christie Brinkley,3
3078,others,A portrait of Christie Brinkley,4
3079,others,A portrait of Christie Brinkley,5
3080,others,An image capturing Christie Brinkley at a public event,1
3081,others,An image capturing Christie Brinkley at a public event,2
3082,others,An image capturing Christie Brinkley at a public event,3
3083,others,An image capturing Christie Brinkley at a public event,4
3084,others,An image capturing Christie Brinkley at a public event,5
3085,others,An oil painting of Christie Brinkley,1
3086,others,An oil painting of Christie Brinkley,2
3087,others,An oil painting of Christie Brinkley,3
3088,others,An oil painting of Christie Brinkley,4
3089,others,An oil painting of Christie Brinkley,5
3090,others,A sketch of Christie Brinkley,1
3091,others,A sketch of Christie Brinkley,2
3092,others,A sketch of Christie Brinkley,3
3093,others,A sketch of Christie Brinkley,4
3094,others,A sketch of Christie Brinkley,5
3095,others,Christie Brinkley in an official photo,1
3096,others,Christie Brinkley in an official photo,2
3097,others,Christie Brinkley in an official photo,3
3098,others,Christie Brinkley in an official photo,4
3099,others,Christie Brinkley in an official photo,5
3100,others,A portrait of Christina Hendricks,1
3101,others,A portrait of Christina Hendricks,2
3102,others,A portrait of Christina Hendricks,3
3103,others,A portrait of Christina Hendricks,4
3104,others,A portrait of Christina Hendricks,5
3105,others,An image capturing Christina Hendricks at a public event,1
3106,others,An image capturing Christina Hendricks at a public event,2
3107,others,An image capturing Christina Hendricks at a public event,3
3108,others,An image capturing Christina Hendricks at a public event,4
3109,others,An image capturing Christina Hendricks at a public event,5
3110,others,An oil painting of Christina Hendricks,1
3111,others,An oil painting of Christina Hendricks,2
3112,others,An oil painting of Christina Hendricks,3
3113,others,An oil painting of Christina Hendricks,4
3114,others,An oil painting of Christina Hendricks,5
3115,others,A sketch of Christina Hendricks,1
3116,others,A sketch of Christina Hendricks,2
3117,others,A sketch of Christina Hendricks,3
3118,others,A sketch of Christina Hendricks,4
3119,others,A sketch of Christina Hendricks,5
3120,others,Christina Hendricks in an official photo,1
3121,others,Christina Hendricks in an official photo,2
3122,others,Christina Hendricks in an official photo,3
3123,others,Christina Hendricks in an official photo,4
3124,others,Christina Hendricks in an official photo,5
3125,others,A portrait of Clint Eastwood,1
3126,others,A portrait of Clint Eastwood,2
3127,others,A portrait of Clint Eastwood,3
3128,others,A portrait of Clint Eastwood,4
3129,others,A portrait of Clint Eastwood,5
3130,others,An image capturing Clint Eastwood at a public event,1
3131,others,An image capturing Clint Eastwood at a public event,2
3132,others,An image capturing Clint Eastwood at a public event,3
3133,others,An image capturing Clint Eastwood at a public event,4
3134,others,An image capturing Clint Eastwood at a public event,5
3135,others,An oil painting of Clint Eastwood,1
3136,others,An oil painting of Clint Eastwood,2
3137,others,An oil painting of Clint Eastwood,3
3138,others,An oil painting of Clint Eastwood,4
3139,others,An oil painting of Clint Eastwood,5
3140,others,A sketch of Clint Eastwood,1
3141,others,A sketch of Clint Eastwood,2
3142,others,A sketch of Clint Eastwood,3
3143,others,A sketch of Clint Eastwood,4
3144,others,A sketch of Clint Eastwood,5
3145,others,Clint Eastwood in an official photo,1
3146,others,Clint Eastwood in an official photo,2
3147,others,Clint Eastwood in an official photo,3
3148,others,Clint Eastwood in an official photo,4
3149,others,Clint Eastwood in an official photo,5
3150,others,A portrait of Countess Vaughn,1
3151,others,A portrait of Countess Vaughn,2
3152,others,A portrait of Countess Vaughn,3
3153,others,A portrait of Countess Vaughn,4
3154,others,A portrait of Countess Vaughn,5
3155,others,An image capturing Countess Vaughn at a public event,1
3156,others,An image capturing Countess Vaughn at a public event,2
3157,others,An image capturing Countess Vaughn at a public event,3
