,filename,prompt,evaluation_seed
72,o_A-portrait-of-Brittany-Snow-and-Jason-Momoa_0_0.jpg,A portrait of Brittany Snow and Jason Momoa,0
73,o_A-portrait-of-Brittany-Snow-and-Jason-Momoa_3_0.jpg,A portrait of Brittany Snow and Jason Momoa,3
74,o_A-portrait-of-Bruce-Lee-and-Gwyneth-Paltrow_0_0.jpg,A portrait of Bruce Lee and Gwyneth Paltrow,0
75,o_A-portrait-of-Cameron-Diaz-and-David-Bowie_4_0.jpg,A portrait of Cameron Diaz and David Bowie,4
76,o_A-portrait-of-Cameron-Diaz-and-Johnny-Cash_1_0.jpg,A portrait of Cameron Diaz and Johnny Cash,1
77,o_A-portrait-of-Cameron-Diaz-and-Johnny-Cash_2_0.jpg,A portrait of Cameron Diaz and Johnny Cash,2
78,o_A-portrait-of-Cameron-Diaz-and-Paul-Wesley_0_0.jpg,A portrait of Cameron Diaz and Paul Wesley,0
79,o_A-portrait-of-Cameron-Diaz-and-Paul-Wesley_4_0.jpg,A portrait of Cameron Diaz and Paul Wesley,4
80,o_A-portrait-of-Channing-Tatum-and-Judy-Garland_1_0.jpg,A portrait of Channing Tatum and Judy Garland,1
81,o_A-portrait-of-Charlie-Sheen-and-Amy-Poehler_0_0.jpg,A portrait of Charlie Sheen and Amy Poehler,0
82,o_A-portrait-of-Charlie-Sheen-and-Amy-Poehler_1_0.jpg,A portrait of Charlie Sheen and Amy Poehler,1
83,o_A-portrait-of-Charlie-Sheen-and-Hayley-Atwell_0_0.jpg,A portrait of Charlie Sheen and Hayley Atwell,0
84,o_A-portrait-of-Chris-Evans-and-Dakota-Johnson_0_0.jpg,A portrait of Chris Evans and Dakota Johnson,0
85,o_A-portrait-of-Chris-Evans-and-Gal-Gadot_0_0.jpg,A portrait of Chris Evans and Gal Gadot,0
86,o_A-portrait-of-Chris-Evans-and-Gal-Gadot_2_0.jpg,A portrait of Chris Evans and Gal Gadot,2
87,o_A-portrait-of-Chris-Evans-and-Kate-Upton_0_0.jpg,A portrait of Chris Evans and Kate Upton,0
88,o_A-portrait-of-Chris-Evans-and-Kate-Upton_3_0.jpg,A portrait of Chris Evans and Kate Upton,3
89,o_A-portrait-of-Chris-Evans-and-Lily-Collins_0_0.jpg,A portrait of Chris Evans and Lily Collins,0
90,o_A-portrait-of-Chris-Evans-and-Lily-Collins_2_0.jpg,A portrait of Chris Evans and Lily Collins,2
91,o_A-portrait-of-Chris-Evans-and-Lily-Collins_4_0.jpg,A portrait of Chris Evans and Lily Collins,4
92,o_A-portrait-of-Chris-Hemsworth-and-Kristen-Stewart_0_0.jpg,A portrait of Chris Hemsworth and Kristen Stewart,0
93,o_A-portrait-of-Chris-Hemsworth-and-Kristen-Stewart_3_0.jpg,A portrait of Chris Hemsworth and Kristen Stewart,3
94,o_A-portrait-of-Chris-Hemsworth-and-Kristen-Stewart_4_0.jpg,A portrait of Chris Hemsworth and Kristen Stewart,4
95,o_A-portrait-of-Chris-Hemsworth-and-Megan-Fox_0_0.jpg,A portrait of Chris Hemsworth and Megan Fox,0
96,o_A-portrait-of-Chris-Hemsworth-and-Megan-Fox_1_0.jpg,A portrait of Chris Hemsworth and Megan Fox,1
97,o_A-portrait-of-Chris-Hemsworth-and-Megan-Fox_4_0.jpg,A portrait of Chris Hemsworth and Megan Fox,4
98,o_A-portrait-of-Chris-Pine-and-Rachel-Mcadams_0_0.jpg,A portrait of Chris Pine and Rachel Mcadams,0
99,o_A-portrait-of-Christie-Brinkley-and-Elvis-Presley_4_0.jpg,A portrait of Christie Brinkley and Elvis Presley,4
100,o_A-portrait-of-Christie-Brinkley-and-Hugh-Jackman_1_0.jpg,A portrait of Christie Brinkley and Hugh Jackman,1
101,o_A-portrait-of-Christie-Brinkley-and-Hugh-Jackman_3_0.jpg,A portrait of Christie Brinkley and Hugh Jackman,3
102,o_A-portrait-of-Chuck-Norris-and-Liv-Tyler_0_0.jpg,A portrait of Chuck Norris and Liv Tyler,0
103,o_A-portrait-of-Countess-Vaughn-and-Bob-Dylan_1_0.jpg,A portrait of Countess Vaughn and Bob Dylan,1
104,o_A-portrait-of-Courteney-Cox-and-Andy-Samberg_3_0.jpg,A portrait of Courteney Cox and Andy Samberg,3
105,o_A-portrait-of-Dakota-Johnson-and-Drake_0_0.jpg,A portrait of Dakota Johnson and Drake,0
106,o_A-portrait-of-Dakota-Johnson-and-Drake_3_0.jpg,A portrait of Dakota Johnson and Drake,3
107,o_A-portrait-of-David-Bowie-and-Amber-Heard_4_0.jpg,A portrait of David Bowie and Amber Heard,4
108,o_A-portrait-of-Denise-Richards-and-Hillary-Clinton_0_0.jpg,A portrait of Denise Richards and Hillary Clinton,0
109,o_A-portrait-of-Doris-Day-and-Bruce-Willis_4_0.jpg,A portrait of Doris Day and Bruce Willis,4
110,o_A-portrait-of-Doris-Day-and-Chris-Evans_1_0.jpg,A portrait of Doris Day and Chris Evans,1
111,o_A-portrait-of-Doris-Day-and-Dwayne-Johnson_3_0.jpg,A portrait of Doris Day and Dwayne Johnson,3
112,o_A-portrait-of-Dr-Dre-and-Demi-Lovato_0_0.jpg,A portrait of Dr Dre and Demi Lovato,0
113,o_A-portrait-of-Dr-Dre-and-Drew-Barrymore_4_0.jpg,A portrait of Dr Dre and Drew Barrymore,4
114,o_A-portrait-of-Drake-and-Countess-Vaughn_0_0.jpg,A portrait of Drake and Countess Vaughn,0
115,o_A-portrait-of-Drew-Barrymore-and-Ben-Affleck_0_0.jpg,A portrait of Drew Barrymore and Ben Affleck,0
116,o_A-portrait-of-Drew-Barrymore-and-Ben-Affleck_3_0.jpg,A portrait of Drew Barrymore and Ben Affleck,3
117,o_A-portrait-of-Dwayne-Johnson-and-Britney-Spears_0_0.jpg,A portrait of Dwayne Johnson and Britney Spears,0
118,o_A-portrait-of-Dwayne-Johnson-and-Rachel-Dratch_1_0.jpg,A portrait of Dwayne Johnson and Rachel Dratch,1
119,o_A-portrait-of-Dwayne-Johnson-and-Rachel-Dratch_2_0.jpg,A portrait of Dwayne Johnson and Rachel Dratch,2
120,o_A-portrait-of-Dwayne-Johnson-and-Rachel-Dratch_3_0.jpg,A portrait of Dwayne Johnson and Rachel Dratch,3
121,o_A-portrait-of-Dwayne-Johnson-and-Rachel-Dratch_4_0.jpg,A portrait of Dwayne Johnson and Rachel Dratch,4
122,o_A-portrait-of-Ed-Sheeran-and-Kristen-Stewart_0_0.jpg,A portrait of Ed Sheeran and Kristen Stewart,0
123,o_A-portrait-of-Ed-Sheeran-and-Kristen-Stewart_1_0.jpg,A portrait of Ed Sheeran and Kristen Stewart,1
124,o_A-portrait-of-Ed-Sheeran-and-Kristen-Stewart_3_0.jpg,A portrait of Ed Sheeran and Kristen Stewart,3
125,o_A-portrait-of-Elon-Musk-and-Krysten-Ritter_1_0.jpg,A portrait of Elon Musk and Krysten Ritter,1
126,o_A-portrait-of-Elon-Musk-and-Krysten-Ritter_3_0.jpg,A portrait of Elon Musk and Krysten Ritter,3
127,o_A-portrait-of-Elvis-Presley-and-Lily-Collins_0_0.jpg,A portrait of Elvis Presley and Lily Collins,0
128,o_A-portrait-of-Elvis-Presley-and-Lily-Collins_1_0.jpg,A portrait of Elvis Presley and Lily Collins,1
129,o_A-portrait-of-Elvis-Presley-and-Lily-Collins_2_0.jpg,A portrait of Elvis Presley and Lily Collins,2
130,o_A-portrait-of-Elvis-Presley-and-Lily-Collins_3_0.jpg,A portrait of Elvis Presley and Lily Collins,3
131,o_A-portrait-of-Emma-Roberts-and-Bradley-Cooper_0_0.jpg,A portrait of Emma Roberts and Bradley Cooper,0
132,o_A-portrait-of-Emma-Roberts-and-Bradley-Cooper_1_0.jpg,A portrait of Emma Roberts and Bradley Cooper,1
133,o_A-portrait-of-Emma-Roberts-and-Bradley-Cooper_3_0.jpg,A portrait of Emma Roberts and Bradley Cooper,3
134,o_A-portrait-of-Emma-Roberts-and-Bruce-Willis_0_0.jpg,A portrait of Emma Roberts and Bruce Willis,0
135,o_A-portrait-of-Emma-Roberts-and-Bruce-Willis_3_0.jpg,A portrait of Emma Roberts and Bruce Willis,3
136,o_A-portrait-of-Emma-Roberts-and-Bruce-Willis_4_0.jpg,A portrait of Emma Roberts and Bruce Willis,4
137,o_A-portrait-of-Emma-Roberts-and-Chuck-Norris_0_0.jpg,A portrait of Emma Roberts and Chuck Norris,0
138,o_A-portrait-of-Emma-Roberts-and-Chuck-Norris_3_0.jpg,A portrait of Emma Roberts and Chuck Norris,3
139,o_A-portrait-of-Emma-Roberts-and-Chuck-Norris_4_0.jpg,A portrait of Emma Roberts and Chuck Norris,4
140,o_A-portrait-of-Emma-Stone-and-Bill-Murray_0_0.jpg,A portrait of Emma Stone and Bill Murray,0
141,o_A-portrait-of-Emma-Stone-and-Bill-Murray_3_0.jpg,A portrait of Emma Stone and Bill Murray,3
142,o_A-portrait-of-Emma-Stone-and-Bill-Murray_4_0.jpg,A portrait of Emma Stone and Bill Murray,4
143,o_A-portrait-of-Gal-Gadot-and-Dwayne-Johnson_0_0.jpg,A portrait of Gal Gadot and Dwayne Johnson,0
144,o_A-portrait-of-Gal-Gadot-and-Dwayne-Johnson_1_0.jpg,A portrait of Gal Gadot and Dwayne Johnson,1
145,o_A-portrait-of-Gal-Gadot-and-Dwayne-Johnson_2_0.jpg,A portrait of Gal Gadot and Dwayne Johnson,2
146,o_A-portrait-of-Gal-Gadot-and-Dwayne-Johnson_3_0.jpg,A portrait of Gal Gadot and Dwayne Johnson,3
147,o_A-portrait-of-George-Bush-and-Anna-Kendrick_1_0.jpg,A portrait of George Bush and Anna Kendrick,1
148,o_A-portrait-of-George-Bush-and-Cameron-Diaz_2_0.jpg,A portrait of George Bush and Cameron Diaz,2
149,o_A-portrait-of-George-Bush-and-Cameron-Diaz_4_0.jpg,A portrait of George Bush and Cameron Diaz,4
150,o_A-portrait-of-George-Bush-and-Drew-Barrymore_1_0.jpg,A portrait of George Bush and Drew Barrymore,1
151,o_A-portrait-of-George-Bush-and-Drew-Barrymore_2_0.jpg,A portrait of George Bush and Drew Barrymore,2
152,o_A-portrait-of-George-Bush-and-Drew-Barrymore_3_0.jpg,A portrait of George Bush and Drew Barrymore,3
153,o_A-portrait-of-George-Clooney-and-Julianne-Moore_1_0.jpg,A portrait of George Clooney and Julianne Moore,1
154,o_A-portrait-of-George-Clooney-and-Julianne-Moore_3_0.jpg,A portrait of George Clooney and Julianne Moore,3
155,o_A-portrait-of-George-Clooney-and-Julianne-Moore_4_0.jpg,A portrait of George Clooney and Julianne Moore,4
156,o_A-portrait-of-George-Takei-and-Charlize-Theron_0_0.jpg,A portrait of George Takei and Charlize Theron,0
157,o_A-portrait-of-George-Takei-and-Charlize-Theron_2_0.jpg,A portrait of George Takei and Charlize Theron,2
158,o_A-portrait-of-George-Takei-and-Charlize-Theron_3_0.jpg,A portrait of George Takei and Charlize Theron,3
159,o_A-portrait-of-George-Takei-and-Demi-Lovato_0_0.jpg,A portrait of George Takei and Demi Lovato,0
160,o_A-portrait-of-George-Takei-and-Demi-Lovato_1_0.jpg,A portrait of George Takei and Demi Lovato,1
161,o_A-portrait-of-George-Takei-and-Demi-Lovato_3_0.jpg,A portrait of George Takei and Demi Lovato,3
162,o_A-portrait-of-George-Takei-and-Drew-Barrymore_0_0.jpg,A portrait of George Takei and Drew Barrymore,0
163,o_A-portrait-of-George-Takei-and-Drew-Barrymore_1_0.jpg,A portrait of George Takei and Drew Barrymore,1
164,o_A-portrait-of-George-Takei-and-Drew-Barrymore_3_0.jpg,A portrait of George Takei and Drew Barrymore,3
165,o_A-portrait-of-Gordon-Ramsey-and-Beth-Behrs_0_0.jpg,A portrait of Gordon Ramsey and Beth Behrs,0
166,o_A-portrait-of-Gordon-Ramsey-and-Beth-Behrs_4_0.jpg,A portrait of Gordon Ramsey and Beth Behrs,4
167,o_A-portrait-of-Harrison-Ford-and-Amy-Schumer_0_0.jpg,A portrait of Harrison Ford and Amy Schumer,0
168,o_A-portrait-of-Harrison-Ford-and-Amy-Schumer_1_0.jpg,A portrait of Harrison Ford and Amy Schumer,1
169,o_A-portrait-of-Harrison-Ford-and-Amy-Schumer_3_0.jpg,A portrait of Harrison Ford and Amy Schumer,3
170,o_A-portrait-of-Harrison-Ford-and-Kristen-Stewart_1_0.jpg,A portrait of Harrison Ford and Kristen Stewart,1
171,o_A-portrait-of-Harry-Dean-Stanton-and-Amber-Heard_2_0.jpg,A portrait of Harry Dean Stanton and Amber Heard,2
172,o_A-portrait-of-Harry-Dean-Stanton-and-Amber-Heard_3_0.jpg,A portrait of Harry Dean Stanton and Amber Heard,3
173,o_A-portrait-of-Harry-Dean-Stanton-and-Amber-Heard_4_0.jpg,A portrait of Harry Dean Stanton and Amber Heard,4
174,o_A-portrait-of-Harry-Dean-Stanton-and-Cameron-Diaz_0_0.jpg,A portrait of Harry Dean Stanton and Cameron Diaz,0
175,o_A-portrait-of-Harry-Dean-Stanton-and-Cameron-Diaz_2_0.jpg,A portrait of Harry Dean Stanton and Cameron Diaz,2
176,o_A-portrait-of-Harry-Dean-Stanton-and-Cameron-Diaz_3_0.jpg,A portrait of Harry Dean Stanton and Cameron Diaz,3
177,o_A-portrait-of-Harry-Dean-Stanton-and-Charlize-Theron_0_0.jpg,A portrait of Harry Dean Stanton and Charlize Theron,0
178,o_A-portrait-of-Harry-Dean-Stanton-and-Charlize-Theron_3_0.jpg,A portrait of Harry Dean Stanton and Charlize Theron,3
179,o_A-portrait-of-Harry-Styles-and-Anjelica-Huston_1_0.jpg,A portrait of Harry Styles and Anjelica Huston,1
180,o_A-portrait-of-Henry-Cavill-and-Charlize-Theron_0_0.jpg,A portrait of Henry Cavill and Charlize Theron,0
181,o_A-portrait-of-Henry-Cavill-and-Charlize-Theron_3_0.jpg,A portrait of Henry Cavill and Charlize Theron,3
182,o_A-portrait-of-Henry-Cavill-and-Charlize-Theron_4_0.jpg,A portrait of Henry Cavill and Charlize Theron,4
183,o_A-portrait-of-Hillary-Clinton-and-Ben-Stiller_1_0.jpg,A portrait of Hillary Clinton and Ben Stiller,1
184,o_A-portrait-of-Hugh-Jackman-and-Britney-Spears_0_0.jpg,A portrait of Hugh Jackman and Britney Spears,0
185,o_A-portrait-of-Hugh-Jackman-and-Britney-Spears_3_0.jpg,A portrait of Hugh Jackman and Britney Spears,3
186,o_A-portrait-of-Hugh-Jackman-and-Emma-Roberts_0_0.jpg,A portrait of Hugh Jackman and Emma Roberts,0
187,o_A-portrait-of-Idris-Elba-and-Leslie-Jones_1_0.jpg,A portrait of Idris Elba and Leslie Jones,1
188,o_A-portrait-of-Idris-Elba-and-Lily-Collins_0_0.jpg,A portrait of Idris Elba and Lily Collins,0
189,o_A-portrait-of-Idris-Elba-and-Lily-Collins_4_0.jpg,A portrait of Idris Elba and Lily Collins,4
190,o_A-portrait-of-Jake-Gyllenhaal-and-Bette-Midler_0_0.jpg,A portrait of Jake Gyllenhaal and Bette Midler,0
191,o_A-portrait-of-Jake-Gyllenhaal-and-Bette-Midler_3_0.jpg,A portrait of Jake Gyllenhaal and Bette Midler,3
192,o_A-portrait-of-James-Franco-and-Gal-Gadot_2_0.jpg,A portrait of James Franco and Gal Gadot,2
193,o_A-portrait-of-James-Franco-and-Krysten-Ritter_1_0.jpg,A portrait of James Franco and Krysten Ritter,1
194,o_A-portrait-of-James-Franco-and-Krysten-Ritter_4_0.jpg,A portrait of James Franco and Krysten Ritter,4
195,o_A-portrait-of-James-Garner-and-Gwyneth-Paltrow_1_0.jpg,A portrait of James Garner and Gwyneth Paltrow,1
196,o_A-portrait-of-James-Garner-and-Gwyneth-Paltrow_2_0.jpg,A portrait of James Garner and Gwyneth Paltrow,2
197,o_A-portrait-of-James-Garner-and-Gwyneth-Paltrow_4_0.jpg,A portrait of James Garner and Gwyneth Paltrow,4
198,o_A-portrait-of-Jeff-Bridges-and-Hillary-Clinton_0_0.jpg,A portrait of Jeff Bridges and Hillary Clinton,0
199,o_A-portrait-of-Jeff-Bridges-and-Hillary-Clinton_1_0.jpg,A portrait of Jeff Bridges and Hillary Clinton,1
200,o_A-portrait-of-Jennifer-Aniston-and-Jeff-Bridges_1_0.jpg,A portrait of Jennifer Aniston and Jeff Bridges,1
201,o_A-portrait-of-Jennifer-Aniston-and-Jeff-Bridges_4_0.jpg,A portrait of Jennifer Aniston and Jeff Bridges,4
202,o_A-portrait-of-Jennifer-Aniston-and-Matthew-Mcconaughey_0_0.jpg,A portrait of Jennifer Aniston and Matthew Mcconaughey,0
203,o_A-portrait-of-Jennifer-Aniston-and-Matthew-Mcconaughey_1_0.jpg,A portrait of Jennifer Aniston and Matthew Mcconaughey,1
204,o_A-portrait-of-Jennifer-Aniston-and-Matthew-Mcconaughey_4_0.jpg,A portrait of Jennifer Aniston and Matthew Mcconaughey,4
205,o_A-portrait-of-Jennifer-Aniston-and-Robert-De-Niro_3_0.jpg,A portrait of Jennifer Aniston and Robert De Niro,3
206,o_A-portrait-of-Jennifer-Connelly-and-Ed-Sheeran_1_0.jpg,A portrait of Jennifer Connelly and Ed Sheeran,1
207,o_A-portrait-of-Jennifer-Connelly-and-Ed-Sheeran_3_0.jpg,A portrait of Jennifer Connelly and Ed Sheeran,3
208,o_A-portrait-of-Jennifer-Connelly-and-Jason-Momoa_1_0.jpg,A portrait of Jennifer Connelly and Jason Momoa,1
209,o_A-portrait-of-Jimmy-Carter-and-Emma-Stone_3_0.jpg,A portrait of Jimmy Carter and Emma Stone,3
210,o_A-portrait-of-Joan-Rivers-and-Anne-Hathaway_2_0.jpg,A portrait of Joan Rivers and Anne Hathaway,2
211,o_A-portrait-of-Jon-Hamm-and-Amy-Adams_2_0.jpg,A portrait of Jon Hamm and Amy Adams,2
212,o_A-portrait-of-Judy-Garland-and-Chris-Pine_0_0.jpg,A portrait of Judy Garland and Chris Pine,0
213,o_A-portrait-of-Judy-Garland-and-Chris-Pine_1_0.jpg,A portrait of Judy Garland and Chris Pine,1
214,o_A-portrait-of-Judy-Garland-and-Chris-Pine_3_0.jpg,A portrait of Judy Garland and Chris Pine,3
215,o_A-portrait-of-Judy-Garland-and-Chris-Pine_4_0.jpg,A portrait of Judy Garland and Chris Pine,4
216,o_A-portrait-of-Justin-Bieber-and-Adriana-Lima_0_0.jpg,A portrait of Justin Bieber and Adriana Lima,0
