,prompt,evaluation_seed,actor,art_style
92,A Camille Pissarro-style depiction of Ed Sheeran,2,Ed Sheeran,Camille Pissarro
93,A Camille Pissarro-style depiction of Ed Sheeran,3,Ed Sheeran,Camille Pissarro
94,A Camille Pissarro-style depiction of Ed Sheeran,4,Ed Sheeran,Camille Pissarro
95,A Camille Pissarro-style depiction of Hugh Jackman,0,Hugh Jackman,Camille Pissarro
96,A Camille Pissarro-style depiction of Hugh Jackman,1,Hugh Jackman,Camille Pissarro
97,A Camille Pissarro-style depiction of Hugh Jackman,2,Hugh Jackman,Camille Pissarro
98,A Camille Pissarro-style depiction of Hugh Jackman,3,Hugh Jackman,Camille Pissarro
99,A Camille Pissarro-style depiction of Hugh Jackman,4,Hugh Jackman,Camille Pissarro
100,A Camille Pissarro-style portrait of Jared Leto,0,Jared Leto,Camille Pissarro
101,A Camille Pissarro-style portrait of Jared Leto,1,Jared Leto,Camille Pissarro
102,A Camille Pissarro-style portrait of Jared Leto,2,Jared Leto,Camille Pissarro
103,A Camille Pissarro-style portrait of Jared Leto,3,Jared Leto,Camille Pissarro
104,A Camille Pissarro-style portrait of Jared Leto,4,Jared Leto,Camille Pissarro
105,A Camille Pissarro-style depiction of Drake,0,Drake,Camille Pissarro
106,A Camille Pissarro-style depiction of Drake,1,Drake,Camille Pissarro
107,A Camille Pissarro-style depiction of Drake,2,Drake,Camille Pissarro
108,A Camille Pissarro-style depiction of Drake,3,Drake,Camille Pissarro
109,A Camille Pissarro-style depiction of Drake,4,Drake,Camille Pissarro
110,A Camille Pissarro-style depiction of Idris Elba,0,Idris Elba,Camille Pissarro
111,A Camille Pissarro-style depiction of Idris Elba,1,Idris Elba,Camille Pissarro
112,A Camille Pissarro-style depiction of Idris Elba,2,Idris Elba,Camille Pissarro
113,A Camille Pissarro-style depiction of Idris Elba,3,Idris Elba,Camille Pissarro
114,A Camille Pissarro-style depiction of Idris Elba,4,Idris Elba,Camille Pissarro
115,A Camille Pissarro-style portrait of Jennifer Aniston,0,Jennifer Aniston,Camille Pissarro
116,A Camille Pissarro-style portrait of Jennifer Aniston,1,Jennifer Aniston,Camille Pissarro
117,A Camille Pissarro-style portrait of Jennifer Aniston,2,Jennifer Aniston,Camille Pissarro
118,A Camille Pissarro-style portrait of Jennifer Aniston,3,Jennifer Aniston,Camille Pissarro
119,A Camille Pissarro-style portrait of Jennifer Aniston,4,Jennifer Aniston,Camille Pissarro
120,A Camille Pissarro-style portrait of Harrison Ford,0,Harrison Ford,Camille Pissarro
121,A Camille Pissarro-style portrait of Harrison Ford,1,Harrison Ford,Camille Pissarro
122,A Camille Pissarro-style portrait of Harrison Ford,2,Harrison Ford,Camille Pissarro
123,A Camille Pissarro-style portrait of Harrison Ford,3,Harrison Ford,Camille Pissarro
124,A Camille Pissarro-style portrait of Harrison Ford,4,Harrison Ford,Camille Pissarro
125,A Camille Pissarro-style depiction of Charlie Sheen,0,Charlie Sheen,Camille Pissarro
126,A Camille Pissarro-style depiction of Charlie Sheen,1,Charlie Sheen,Camille Pissarro
127,A Camille Pissarro-style depiction of Charlie Sheen,2,Charlie Sheen,Camille Pissarro
128,A Camille Pissarro-style depiction of Charlie Sheen,3,Charlie Sheen,Camille Pissarro
129,A Camille Pissarro-style depiction of Charlie Sheen,4,Charlie Sheen,Camille Pissarro
130,A Camille Pissarro-style portrait of James Franco,0,James Franco,Camille Pissarro
131,A Camille Pissarro-style portrait of James Franco,1,James Franco,Camille Pissarro
132,A Camille Pissarro-style portrait of James Franco,2,James Franco,Camille Pissarro
133,A Camille Pissarro-style portrait of James Franco,3,James Franco,Camille Pissarro
134,A Camille Pissarro-style portrait of James Franco,4,James Franco,Camille Pissarro
135,A Camille Pissarro-style depiction of Dwayne Johnson,0,Dwayne Johnson,Camille Pissarro
136,A Camille Pissarro-style depiction of Dwayne Johnson,1,Dwayne Johnson,Camille Pissarro
137,A Camille Pissarro-style depiction of Dwayne Johnson,2,Dwayne Johnson,Camille Pissarro
138,A Camille Pissarro-style depiction of Dwayne Johnson,3,Dwayne Johnson,Camille Pissarro
139,A Camille Pissarro-style depiction of Dwayne Johnson,4,Dwayne Johnson,Camille Pissarro
140,A Camille Pissarro-style depiction of Channing Tatum,0,Channing Tatum,Camille Pissarro
141,A Camille Pissarro-style depiction of Channing Tatum,1,Channing Tatum,Camille Pissarro
142,A Camille Pissarro-style depiction of Channing Tatum,2,Channing Tatum,Camille Pissarro
143,A Camille Pissarro-style depiction of Channing Tatum,3,Channing Tatum,Camille Pissarro
144,A Camille Pissarro-style depiction of Channing Tatum,4,Channing Tatum,Camille Pissarro
145,A Camille Pissarro-style portrait of Channing Tatum,0,Channing Tatum,Camille Pissarro
146,A Camille Pissarro-style portrait of Channing Tatum,1,Channing Tatum,Camille Pissarro
147,A Camille Pissarro-style portrait of Channing Tatum,2,Channing Tatum,Camille Pissarro
148,A Camille Pissarro-style portrait of Channing Tatum,3,Channing Tatum,Camille Pissarro
149,A Camille Pissarro-style portrait of Channing Tatum,4,Channing Tatum,Camille Pissarro
