,prompt,evaluation_seed,actor,art_style
60,A Claude Monet-style portrait of Bill Clinton,0,Bill Clinton,Claude Monet
61,A Claude Monet-style portrait of Bill Clinton,1,Bill Clinton,Claude Monet
62,A Claude Monet-style portrait of Bill Clinton,2,Bill Clinton,Claude Monet
63,A Claude Monet-style portrait of Bill Clinton,3,Bill Clinton,Claude Monet
64,A Claude Monet-style portrait of Bill Clinton,4,Bill Clinton,Claude Monet
65,A Claude Monet-style depiction of Amber Heard,0,Amber Heard,Claude Monet
66,A Claude Monet-style depiction of Amber Heard,1,Amber Heard,Claude Monet
67,A Claude Monet-style depiction of Amber Heard,2,Amber Heard,Claude Monet
68,A Claude Monet-style depiction of Amber Heard,3,Amber Heard,Claude Monet
69,A Claude Monet-style depiction of Amber Heard,4,Amber Heard,Claude Monet
70,A Claude Monet-style portrait of Bill Clinton,0,Bill Clinton,Claude Monet
71,A Claude Monet-style portrait of Bill Clinton,1,Bill Clinton,Claude Monet
72,A Claude Monet-style portrait of Bill Clinton,2,Bill Clinton,Claude Monet
73,A Claude Monet-style portrait of Bill Clinton,3,Bill Clinton,Claude Monet
74,A Claude Monet-style portrait of Bill Clinton,4,Bill Clinton,Claude Monet
75,A Claude Monet-style depiction of Bruce Willis,0,Bruce Willis,Claude Monet
76,A Claude Monet-style depiction of Bruce Willis,1,Bruce Willis,Claude Monet
77,A Claude Monet-style depiction of Bruce Willis,2,Bruce Willis,Claude Monet
78,A Claude Monet-style depiction of Bruce Willis,3,Bruce Willis,Claude Monet
79,A Claude Monet-style depiction of Bruce Willis,4,Bruce Willis,Claude Monet
80,A Claude Monet-style portrait of Adriana Lima,0,Adriana Lima,Claude Monet
81,A Claude Monet-style portrait of Adriana Lima,1,Adriana Lima,Claude Monet
82,A Claude Monet-style portrait of Adriana Lima,2,Adriana Lima,Claude Monet
83,A Claude Monet-style portrait of Adriana Lima,3,Adriana Lima,Claude Monet
84,A Claude Monet-style portrait of Adriana Lima,4,Adriana Lima,Claude Monet
85,A Claude Monet-style portrait of Bruce Willis,0,Bruce Willis,Claude Monet
86,A Claude Monet-style portrait of Bruce Willis,1,Bruce Willis,Claude Monet
87,A Claude Monet-style portrait of Bruce Willis,2,Bruce Willis,Claude Monet
88,A Claude Monet-style portrait of Bruce Willis,3,Bruce Willis,Claude Monet
89,A Claude Monet-style portrait of Bruce Willis,4,Bruce Willis,Claude Monet
90,A Claude Monet-style portrait of Anne Hathaway,0,Anne Hathaway,Claude Monet
91,A Claude Monet-style portrait of Anne Hathaway,1,Anne Hathaway,Claude Monet
92,A Claude Monet-style portrait of Anne Hathaway,2,Anne Hathaway,Claude Monet
93,A Claude Monet-style portrait of Anne Hathaway,3,Anne Hathaway,Claude Monet
94,A Claude Monet-style portrait of Anne Hathaway,4,Anne Hathaway,Claude Monet
95,A Claude Monet-style portrait of Gwyneth Paltrow,0,Gwyneth Paltrow,Claude Monet
96,A Claude Monet-style portrait of Gwyneth Paltrow,1,Gwyneth Paltrow,Claude Monet
97,A Claude Monet-style portrait of Gwyneth Paltrow,2,Gwyneth Paltrow,Claude Monet
98,A Claude Monet-style portrait of Gwyneth Paltrow,3,Gwyneth Paltrow,Claude Monet
99,A Claude Monet-style portrait of Gwyneth Paltrow,4,Gwyneth Paltrow,Claude Monet
100,A Claude Monet-style portrait of Elon Musk,0,Elon Musk,Claude Monet
101,A Claude Monet-style portrait of Elon Musk,1,Elon Musk,Claude Monet
102,A Claude Monet-style portrait of Elon Musk,2,Elon Musk,Claude Monet
103,A Claude Monet-style portrait of Elon Musk,3,Elon Musk,Claude Monet
104,A Claude Monet-style portrait of Elon Musk,4,Elon Musk,Claude Monet
105,A Claude Monet-style portrait of Drew Barrymore,0,Drew Barrymore,Claude Monet
106,A Claude Monet-style portrait of Drew Barrymore,1,Drew Barrymore,Claude Monet
107,A Claude Monet-style portrait of Drew Barrymore,2,Drew Barrymore,Claude Monet
108,A Claude Monet-style portrait of Drew Barrymore,3,Drew Barrymore,Claude Monet
109,A Claude Monet-style portrait of Drew Barrymore,4,Drew Barrymore,Claude Monet
110,A Claude Monet-style depiction of Gwyneth Paltrow,0,Gwyneth Paltrow,Claude Monet
111,A Claude Monet-style depiction of Gwyneth Paltrow,1,Gwyneth Paltrow,Claude Monet
112,A Claude Monet-style depiction of Gwyneth Paltrow,2,Gwyneth Paltrow,Claude Monet
113,A Claude Monet-style depiction of Gwyneth Paltrow,3,Gwyneth Paltrow,Claude Monet
114,A Claude Monet-style depiction of Gwyneth Paltrow,4,Gwyneth Paltrow,Claude Monet
115,A Claude Monet-style portrait of Courteney Cox,0,Courteney Cox,Claude Monet
116,A Claude Monet-style portrait of Courteney Cox,1,Courteney Cox,Claude Monet
117,A Claude Monet-style portrait of Courteney Cox,2,Courteney Cox,Claude Monet
118,A Claude Monet-style portrait of Courteney Cox,3,Courteney Cox,Claude Monet
119,A Claude Monet-style portrait of Courteney Cox,4,Courteney Cox,Claude Monet
120,A Claude Monet-style portrait of Chris Evans,0,Chris Evans,Claude Monet
121,A Claude Monet-style portrait of Chris Evans,1,Chris Evans,Claude Monet
122,A Claude Monet-style portrait of Chris Evans,2,Chris Evans,Claude Monet
123,A Claude Monet-style portrait of Chris Evans,3,Chris Evans,Claude Monet
124,A Claude Monet-style portrait of Chris Evans,4,Chris Evans,Claude Monet
125,A Claude Monet-style depiction of Jennifer Lawrence,0,Jennifer Lawrence,Claude Monet
126,A Claude Monet-style depiction of Jennifer Lawrence,1,Jennifer Lawrence,Claude Monet
127,A Claude Monet-style depiction of Jennifer Lawrence,2,Jennifer Lawrence,Claude Monet
128,A Claude Monet-style depiction of Jennifer Lawrence,3,Jennifer Lawrence,Claude Monet
129,A Claude Monet-style depiction of Jennifer Lawrence,4,Jennifer Lawrence,Claude Monet
130,A Claude Monet-style depiction of Anna Kendrick,0,Anna Kendrick,Claude Monet
131,A Claude Monet-style depiction of Anna Kendrick,1,Anna Kendrick,Claude Monet
132,A Claude Monet-style depiction of Anna Kendrick,2,Anna Kendrick,Claude Monet
133,A Claude Monet-style depiction of Anna Kendrick,3,Anna Kendrick,Claude Monet
134,A Claude Monet-style depiction of Anna Kendrick,4,Anna Kendrick,Claude Monet
135,A Claude Monet-style portrait of Bill Clinton,0,Bill Clinton,Claude Monet
136,A Claude Monet-style portrait of Bill Clinton,1,Bill Clinton,Claude Monet
137,A Claude Monet-style portrait of Bill Clinton,2,Bill Clinton,Claude Monet
138,A Claude Monet-style portrait of Bill Clinton,3,Bill Clinton,Claude Monet
139,A Claude Monet-style portrait of Bill Clinton,4,Bill Clinton,Claude Monet
140,A Claude Monet-style depiction of Anjelica Huston,0,Anjelica Huston,Claude Monet
141,A Claude Monet-style depiction of Anjelica Huston,1,Anjelica Huston,Claude Monet
142,A Claude Monet-style depiction of Anjelica Huston,2,Anjelica Huston,Claude Monet
143,A Claude Monet-style depiction of Anjelica Huston,3,Anjelica Huston,Claude Monet
144,A Claude Monet-style depiction of Anjelica Huston,4,Anjelica Huston,Claude Monet
145,A Claude Monet-style portrait of Idris Elba,0,Idris Elba,Claude Monet
146,A Claude Monet-style portrait of Idris Elba,1,Idris Elba,Claude Monet
147,A Claude Monet-style portrait of Idris Elba,2,Idris Elba,Claude Monet
148,A Claude Monet-style portrait of Idris Elba,3,Idris Elba,Claude Monet
149,A Claude Monet-style portrait of Idris Elba,4,Idris Elba,Claude Monet
